"Metric" "Resolution" "Mean_Value" "SD_Value" "cost" "SD_loss" "Mean_loss" "SD_loss_pct" "Mean_loss_pct" "SD_retained_pct" "Mean_retained_pct"
"eRIDE" "100" 3.05350922132145 3.11235091747163 24953458 0 0 0 0 100 100
"eRIDE" "200" 2.83066157959791 2.60762404372577 6659920 0.504726873745853 0.22284764172354 16.2169012148501 7.29808314209379 83.7830987851499 92.7019168579062
"eRIDE" "300" 2.78006537637461 2.48149004941525 3062934 0.630860868056379 0.273443844946841 20.2695931398658 8.95506858264881 79.7304068601342 91.0449314173512
"eRIDE" "400" 2.50998601459474 1.99321370239266 1779668 1.11913721507897 0.543523206726705 35.9579380588651 17.7999530157465 64.0420619411349 82.2000469842535
"eRIDE" "500" 2.41711215586053 1.81925293734831 1168587 1.29309798012331 0.636397065460922 41.5473066634074 20.841498071046 58.4526933365926 79.158501928954
"eRIDE" "600" 2.3327862274202 1.68556660832891 834310 1.42678430914272 0.720722993901246 45.8426555030559 23.6031052033091 54.1573444969441 76.3968947966909
"eRIDE" "700" 2.44045326866985 1.80244874134337 619427 1.30990217612826 0.613055952651595 42.0872263720307 20.0770951785856 57.9127736279693 79.9229048214144
"eRIDE" "800" 2.24029026368285 1.4725359576802 485825 1.63981495979142 0.813218957638599 52.6873416036118 26.6322744978208 47.3126583963882 73.3677255021792
"eRIDE" "900" 2.2401644820963 1.44598725050866 391243 1.66636366696296 0.813344739225149 53.5403529726868 26.6363937448063 46.4596470273132 73.3636062551937
"eRIDE" "1000" 2.15932319308184 1.32509057612356 320927 1.78726034134807 0.894186028239611 57.424769530808 29.2838817055427 42.575230469192 70.7161182944573
"eRIDE" "5000" 1.66797386571703 0.64064296958838 19527 2.47170794788325 1.38553535560441 79.4161074192489 45.3751816411677 20.5838925807511 54.6248183588323
